Neighborhood,Type,Price,Beds,Baths,Built Year,Longitude,Latitude,Link
Inner Richmond,Single Family Residence,888000,3,1,1911,-122.475296,37.77991,https://www.zillow.com/homedetails/427-16th-Ave-San-Francisco-CA-94118/15094085_zpid/
Outer Sunset,Single Family Residence,995000,2,1,1926,-122.49338,37.761646,https://www.zillow.com/homedetails/1367-34th-Ave-San-Francisco-CA-94122/15103590_zpid/
Pacific Heights,Single Family Residence,32000000,4,10,1987,-122.44629,37.79317,https://www.zillow.com/homedetails/2990-Broadway-St-San-Francisco-CA-94115/15080779_zpid/
Dolores Heights,Condominium,1095000,3,1,,-122.42891,37.7542,https://www.zillow.com/homedetails/22-Vicksburg-St-San-Francisco-CA-94114/440810131_zpid/
Mission Dolores,Condominium,849000,3,2,1890,-122.42788,37.76315,https://www.zillow.com/homedetails/3670-17th-St-San-Francisco-CA-94114/2101129533_zpid/
Outer Sunset,Single Family Residence,1195000,2,2,1928,-122.48846,37.75989,https://www.zillow.com/homedetails/1470-30th-Ave-San-Francisco-CA-94122/15105031_zpid/
Bernal Heights,Single Family Residence,1450000,3,2,1948,-122.4161,37.745403,https://www.zillow.com/homedetails/2-Aztec-St-San-Francisco-CA-94110/15160053_zpid/
Portola,Single Family Residence,649000,3,2,1952,-122.40892,37.720146,https://www.zillow.com/homedetails/857-Dartmouth-St-San-Francisco-CA-94134/15172200_zpid/
Russian Hill,Single Family Residence,2995000,3,3,1906,-122.41849,37.79789,https://www.zillow.com/homedetails/1834-Hyde-St-San-Francisco-CA-94109/332849867_zpid/
Outer Richmond,Single Family Residence,1195000,2,1,1920,-122.48251,37.77598,https://www.zillow.com/homedetails/619-23rd-Ave-San-Francisco-CA-94121/15097631_zpid/
Golden Gate Heights,Single Family Residence,1195000,3,3,1962,-122.471344,37.75943,https://www.zillow.com/homedetails/57-Lurline-St-San-Francisco-CA-94122/15106455_zpid/
Pacific Heights,Single Family Residence,4350000,5,5,2017,-122.433266,37.788227,https://www.zillow.com/homedetails/2268-Pine-St-San-Francisco-CA-94115/15075188_zpid/
Pacific Heights,Condominium,1395000,2,2,1900,-122.433525,37.790955,https://www.zillow.com/homedetails/2456-Clay-St-San-Francisco-CA-94115/241585578_zpid/
Marina District,Condominium,1875000,3,2,,-122.438156,37.803204,https://www.zillow.com/homedetails/45-Cervantes-Blvd-San-Francisco-CA-94123/79844114_zpid/
Outer Sunset,Single Family Residence,1098000,3,2,1944,-122.50218,37.745872,https://www.zillow.com/homedetails/3324-Rivera-St-San-Francisco-CA-94116/15117001_zpid/
Cow Hollow,Single Family Residence,22000000,5,8,1906,-122.44149,37.79607,https://www.zillow.com/homedetails/2567-Union-St-San-Francisco-CA-94123/15080664_zpid/
Mission,Triplex,699000,6,3,1923,-122.411385,37.749336,https://www.zillow.com/homedetails/3001-3005-Harrison-St-San-Francisco-CA-94110/332861280_zpid/
Inner Richmond,Duplex,899000,5,0,1906,-122.46214,37.776554,https://www.zillow.com/homedetails/639-641-4th-Ave-San-Francisco-CA-94118/332855917_zpid/
Parkside,Single Family Residence,1288000,3,2,1939,-122.4932,37.735268,https://www.zillow.com/homedetails/2776-36th-Ave-San-Francisco-CA-94116/15125875_zpid/
Excelsior,Single Family Residence,599995,2,1,1916,-122.430756,37.71921,https://www.zillow.com/homedetails/566-Athens-St-San-Francisco-CA-94112/15171284_zpid/
Monterey Heights,Single Family Residence,2295000,3,3,1936,-122.462006,37.733326,https://www.zillow.com/homedetails/184-Maywood-Dr-San-Francisco-CA-94127/15137284_zpid/
Diamond Heights,Condominium,899000,2,2,1980,-122.43998,37.746044,https://www.zillow.com/homedetails/5175-Diamond-Heights-Blvd-APT-101-San-Francisco-CA-94131/15199408_zpid/
Mission,Single Family Residence,4995000,4,6,1872,-122.417175,37.75786,https://www.zillow.com/homedetails/956-S-Van-Ness-Ave-San-Francisco-CA-94110/15145720_zpid/
South Beach,Condominium,428206,2,1,2006,-122.38938,37.78616,https://www.zillow.com/homedetails/501-Beale-St-UNIT-11F-San-Francisco-CA-94105/69819296_zpid/
